ID Client,Date Passage,Etablissement,Designation,Quantite,Type Forfait
1000,2022-12-29,Arkose Lyon,Abonnement mensuel,1,Abonnement
1000,2022-02-09,Arkose Lyon,Pack 10 séances,1,Pack
1000,2022-12-21,Arkose Paris,Abonnement mensuel,1,Abonnement
1001,2023-09-30,Arkose Paris,Abonnement mensuel,1,Abonnement
1001,2023-11-08,Arkose Bordeaux,Abonnement mensuel,1,Abonnement
1001,2023-09-23,Arkose Bordeaux,Abonnement mensuel,1,Abonnement
1001,2023-10-02,Arkose Bordeaux,Abonnement mensuel,3,Abonnement
1001,2023-09-30,Arkose Paris,Pack 10 séances,3,Pack
1001,2023-10-15,Arkose Lyon,Pack 10 séances,2,Pack
1001,2023-12-28,Arkose Paris,Abonnement mensuel,1,Abonnement
1001,2023-09-27,Arkose Lyon,Pack 10 séances,2,Pack
1001,2023-12-19,Arkose Paris,Pack 10 séances,1,Pack
1001,2023-09-24,Arkose Paris,Pack 10 séances,1,Pack
1001,2023-09-04,Arkose Paris,Abonnement mensuel,3,Abonnement
1002,2023-10-10,Arkose Paris,Pack 10 séances,2,Pack
1002,2023-10-19,Arkose Paris,Pack 10 séances,2,Pack
1002,2023-09-29,Arkose Bordeaux,1 séance plein tarif,3,Unité
1002,2023-10-16,Arkose Bordeaux,1 séance plein tarif,1,Unité
1002,2023-09-25,Arkose Paris,Pack 10 séances,1,Pack
1002,2023-10-30,Arkose Lyon,1 séance plein tarif,2,Unité
1002,2023-11-03,Arkose Paris,Abonnement mensuel,2,Abonnement
1002,2023-10-16,Arkose Lyon,Abonnement mensuel,2,Abonnement
1002,2023-10-05,Arkose Lyon,Pack 10 séances,2,Pack
1003,2022-11-06,Arkose Lyon,Pack 10 séances,1,Pack
1004,2023-09-05,Arkose Lyon,Abonnement mensuel,1,Abonnement
1004,2023-11-24,Arkose Paris,1 séance plein tarif,1,Unité
1004,2023-10-22,Arkose Lyon,Abonnement mensuel,2,Abonnement
1004,2023-11-30,Arkose Lyon,1 séance plein tarif,2,Unité
1004,2023-11-25,Arkose Lyon,Pack 10 séances,2,Pack
1004,2023-11-30,Arkose Paris,Pack 10 séances,2,Pack
1004,2023-10-20,Arkose Paris,1 séance plein tarif,1,Unité
1004,2023-09-24,Arkose Paris,Pack 10 séances,1,Pack
1004,2023-12-25,Arkose Paris,Abonnement mensuel,2,Abonnement
1004,2023-12-31,Arkose Paris,Pack 10 séances,1,Pack
1004,2023-12-07,Arkose Paris,Abonnement mensuel,1,Abonnement
1004,2023-10-20,Arkose Paris,Abonnement mensuel,1,Abonnement
1004,2023-10-04,Arkose Bordeaux,Abonnement mensuel,1,Abonnement
1004,2023-11-01,Arkose Paris,Abonnement mensuel,2,Abonnement
1005,2023-08-22,Arkose Bordeaux,Pack 10 séances,1,Pack
1005,2023-10-02,Arkose Paris,Abonnement mensuel,1,Abonnement
1005,2023-03-12,Arkose Bordeaux,1 séance plein tarif,1,Unité
1005,2023-09-23,Arkose Bordeaux,1 séance plein tarif,1,Unité
1005,2024-01-01,Arkose Bordeaux,Pack 10 séances,1,Pack
1005,2023-08-06,Arkose Paris,Pack 10 séances,1,Pack
1005,2023-09-07,Arkose Lyon,Abonnement mensuel,1,Abonnement
1006,2022-12-12,Arkose Paris,Pack 10 séances,3,Pack
1006,2022-04-02,Arkose Paris,Pack 10 séances,1,Pack
1007,2023-11-11,Arkose Paris,1 séance plein tarif,1,Unité
1007,2023-10-31,Arkose Paris,Abonnement mensuel,1,Abonnement
1007,2023-11-14,Arkose Paris,1 séance plein tarif,1,Unité
1007,2023-09-06,Arkose Bordeaux,Pack 10 séances,1,Pack
1007,2023-10-23,Arkose Lyon,Abonnement mensuel,2,Abonnement
1007,2023-11-07,Arkose Bordeaux,Abonnement mensuel,1,Abonnement
1007,2023-11-18,Arkose Paris,1 séance plein tarif,1,Unité
1007,2024-01-01,Arkose Lyon,Pack 10 séances,1,Pack
1007,2023-10-02,Arkose Paris,Pack 10 séances,2,Pack
1007,2023-12-29,Arkose Paris,1 séance plein tarif,3,Unité
1007,2023-12-01,Arkose Paris,1 séance plein tarif,1,Unité
1007,2023-09-27,Arkose Paris,Abonnement mensuel,2,Abonnement
